OP;Ref;Coleccion;UndProg;UndCort;FechaCorte;Estado de integracion;Bodega Despacho;InvPlanta;NombrePlanta;FSalidaConf;FEntregaConf;Proceso;InvBPT;Saldo BPT;Descripcion;Cuento;Genero;Tipo Tejido; pvp ; TEMPLO DE LA MODA ; BARRANCA ; VALOR FACTURACION  
372;MS0355;MODA UNIVERSO 2025;306;306;23/04/2025;No;0;306;ARANGO HIDALGO MARTA ISABEL;22-may-25;05-jun-25;CONFECCION;0;306;SHORT;MODAFRESCA;DAMA;PLANO; $ 39.900 ; $ 17.606 ; $ 15.563 ; $ 5.199.889 
490;U24050;MODA UNIVERSO 2025;228;202;15/09/2025;No;0;202;NARVAEZ URBANO WILDER MAURICIO;25-mar-26;20-abr-26;CONFECCION;0;202;PANTALONETAS;URBANO;HOMBRE;PUNTO; $ 59.990 ; $ 28.644 ; $ 25.321 ; $ 5.584.714 
560;808801;LINEA UNIVERSO;216;216;06/05/2025;No;0;216;QUINTERO ISAZA DANIER;18-mar-26;20-abr-26;CONFECCION;0;216;BLUSAS;BASICO;DAMA;PUNTO; $ 42.900 ; $ 18.616 ; $ 16.456 ; $ 3.881.088 
570;UN0930;MODA UNIVERSO 2025;210;230;23/05/2025;No;0;230;IBARGUEN MERCADO GLORIA INES;18-mar-26;30-abr-26;CONFECCION;0;230;PANTALONETAS;DEPORTIVO;NIÑO;PUNTO; $ 42.900 ; $ 19.478 ; $ 17.219 ; $ 4.324.069 
593;MB7064;MODA UNIVERSO 2025;208;224;07/05/2025;No;0;5;MENDEZ CANO MARIA EDENY;27-ene-26;10-feb-26;CONFECCION;224;0;CAMISERAS;MODAFRESCA;DAMA;PLANO; $ 65.900 ; $ 28.187 ; $ 24.917 ; $ -   
771;MS0385;MODA UNIVERSO 2025;300;238;22/05/2025;No;0;238;MORALES  CLAUDIA GIOVANA;30-jul-25;13-ago-25;CONFECCION;0;238;FALDAS;MODAFRESCA;DAMA;PLANO; $ 49.900 ; $ 18.435 ; $ 16.296 ; $ 4.234.805 
794;803004;LINEA UNIVERSO;51;51;24/05/2025;Ok;51;0;;;;;0;51;BLUSAS;BASICO;DAMA;PUNTO; $ 9.900 ; $ 4.465 ; $ 3.947 ; $ 219.790 
1000;GC8014;LINEA UNIVERSO;166;166;25/06/2025;0;0;1;CORREDOR CAÑON MANUEL ANTONIO;17-jul-25;30-jul-25;CONFECCION;165;1;CAMISILLA;BOGOTA;NIÑO;PUNTO; $ 26.900 ; $ 10.208 ; $ 9.038 ; $ 9.857 
1488;MS0397;MODA UNIVERSO 2025;336;384;27/06/2025;No;0;384;RODRIGUEZ ESCOBAR LEYDI JOHANA;26-ene-26;04-mar-26;CONFECCION;0;384;FALDAS;MODAFRESCA;DAMA;PLANO; $ 69.900 ; $ 32.003 ; $ 28.291 ; $ 11.861.530 
1689;MS0391;MODA UNIVERSO 2025;240;181;07/07/2025;No;0;181;PINO DEL CARMEN MARIA LOURDES;05-feb-26;18-feb-26;CONFECCION;0;181;FALDAS;MODAFRESCA;DAMA;PLANO; $ 62.900 ; $ 24.576 ; $ 21.725 ; $ 4.293.447 
1849;U24081;MODA UNIVERSO 2025;336;351;29/07/2025;No;0;0;;;;;351;0;CAMISETAS;DEPORTIVO;HOMBRE;PUNTO; $ 33.900 ; $ 15.808 ; $ 13.974 ; $ -   
1962;805500;MODA UNIVERSO 2025;490;330;26/07/2025;No;330;0;;;;;0;330;TOP CROP;MODAFRESCA;DAMA;PUNTO; $ 26.900 ; $ 10.750 ; $ 9.815 ; $ 3.454.935 
1963;805504;MODA UNIVERSO 2025;490;330;26/07/2025;No;330;0;;;;;0;330;TOP CROP;MODAFRESCA;DAMA;PUNTO; $ 26.990 ; $ 8.635 ; $ 7.633 ; $ 2.750.352 
2186;MS0403;MODA UNIVERSO 2025;306;288;08/08/2025;No;0;288;MORALES  CLAUDIA GIOVANA;05-nov-25;09-dic-25;CONFECCION;0;288;FALDAS;MODAFRESCA;DAMA;PUNTO; $ 69.900 ; $ 31.622 ; $ 27.954 ; $ 8.790.221 
2382;DD3001;LINEA UNIVERSO;8;8;05/08/2025;Ok;8;0;;;;;0;8;PANTALONETA PROMOCIO;DEPORTIVO;NIÑO;PUNTO; $ 37.990 ; $ 17.024 ; $ 15.050 ; $ 131.454 
2419;MS0514;MODA UNIVERSO 2025;360;320;14/08/2025;No;0;1;MAGIN ZAPATA SORELENA;18-dic-25;23-dic-25;CONFECCION;320;0;BERMUDAS;MODAFRESCA;DAMA;PLANO; $ 54.990 ; $ 23.473 ; $ 20.750 ; $ -   
2575;U24214;MODA UNIVERSO 2025;217;189;27/08/2025;No;189;0;;;;;0;189;CONJUNTOS;DEPORTIVO;DAMA;PUNTO; $ 67.900 ; $ 29.608 ; $ 26.173 ; $ 5.401.148 
2609;805941;MODA UNIVERSO 2025;270;265;27/08/2025;No;0;265;NOSCUE VITONAS MARLENY;24-mar-26;13-abr-26;CONFECCION;0;265;CHALECOS;BASICO;DAMA;PLANO; $ 42.900 ; $ 16.665 ; $ 14.732 ; $ 4.262.552 
2636;MB6780;MODA UNIVERSO 2025;384;396;05/09/2025;No;0;396;CATUCHE ACOSTA ANGELA YOHANA;10-abr-26;07-may-26;CONFECCION;0;396;BLUSAS;MODAFRESCA;DAMA;PLANO; $ 59.900 ; $ 25.244 ; $ 22.316 ; $ 9.648.778 
2708;D21474;MODA UNIVERSO 2025;616;664;02/09/2025;No;0;664;GOMEZ VALENCIA LUZ ENEIDA;24-mar-26;08-abr-26;CONFECCION;0;664;CAMISETAS;URBANO;HOMBRE;PUNTO; $ 34.900 ; $ 13.799 ; $ 12.198 ; $ 8.843.617 
2709;D21474;MODA UNIVERSO 2025;608;648;03/09/2025;No;0;648;BECERRA RODRIGUEZ OSCAR;27-mar-26;27-mar-26;CONFECCION;0;648;CAMISETAS;URBANO;HOMBRE;PUNTO; $ 34.900 ; $ 13.799 ; $ 12.198 ; $ 8.630.518 
